value,name,date
749,Dallas-LBJFwyE,2018-07
708,Seattle-I-5S,2018-07
686,Houston-I-45S,2018-07
653,LosAngeles-SanDiegoFwyS,2018-07
640,LosAngeles-I-10W,2018-07
625,LosAngeles-I-10E,2018-07
585,LosAngeles-I-5N,2018-07
578,Houston-US-90E,2018-07
542,Orlando-I-4E,2018-07
540,Orlando-I-4W,2018-07
532,Houston-US-59N,2018-07
486,Houston-US-59S,2018-07
1305,Chicago-I-94W,2018-08
1223,Miami-I-95S,2018-08
1221,Miami-I-95N,2018-08
1099,Houston-I-45N,2018-08
921,Chicago-I-90E,2018-08
824,Phoenix-PearlHarborMemorialHighway,2018-08
817,Seattle-I-5N,2018-08
785,Dallas-I-635W,2018-08
751,Dallas-LBJFwyE,2018-08
742,Seattle-I-5S,2018-08
690,Houston-I-45S,2018-08
663,LosAngeles-SanDiegoFwyS,2018-08
663,LosAngeles-I-10W,2018-08
645,LosAngeles-I-10E,2018-08
599,LosAngeles-I-5N,2018-08
579,Houston-US-90E,2018-08
566,Orlando-I-4W,2018-08
564,Orlando-I-4E,2018-08
535,Houston-US-59N,2018-08
493,Atlanta-I-75S,2018-08
1342,Chicago-I-94W,2018-09
1253,Miami-I-95N,2018-09
1252,Miami-I-95S,2018-09
1135,Houston-I-45N,2018-09
948,Chicago-I-90E,2018-09
846,Phoenix-PearlHarborMemorialHighway,2018-09
841,Seattle-I-5N,2018-09
818,Dallas-I-635W,2018-09
767,Dallas-LBJFwyE,2018-09
763,Seattle-I-5S,2018-09
705,Houston-I-45S,2018-09
684,LosAngeles-I-10W,2018-09
671,LosAngeles-SanDiegoFwyS,2018-09
655,LosAngeles-I-10E,2018-09
614,LosAngeles-I-5N,2018-09
593,Houston-US-90E,2018-09
590,Orlando-I-4W,2018-09
578,Orlando-I-4E,2018-09
545,Houston-US-59N,2018-09
513,Atlanta-I-75S,2018-09
1389,Chicago-I-94W,2018-10
1289,Miami-I-95S,2018-10
1286,Miami-I-95N,2018-10
1169,Houston-I-45N,2018-10
983,Chicago-I-90E,2018-10
874,Phoenix-PearlHarborMemorialHighway,2018-10
864,Seattle-I-5N,2018-10
853,Dallas-I-635W,2018-10
797,Dallas-LBJFwyE,2018-10
791,Seattle-I-5S,2018-10
730,Houston-I-45S,2018-10
712,LosAngeles-I-10W,2018-10
692,LosAngeles-SanDiegoFwyS,2018-10
674,LosAngeles-I-10E,2018-10
638,LosAngeles-I-5N,2018-10
620,Orlando-I-4W,2018-10
614,Houston-US-90E,2018-10
597,Orlando-I-4E,2018-10
559,Houston-US-59N,2018-10
544,Atlanta-I-75S,2018-10
1430,Chicago-I-94W,2018-11
1332,Miami-I-95S,2018-11
1312,Miami-I-95N,2018-11
1197,Houston-I-45N,2018-11
1019,Chicago-I-90E,2018-11
899,Seattle-I-5N,2018-11
894,Phoenix-PearlHarborMemorialHighway,2018-11
878,Dallas-I-635W,2018-11
818,Dallas-LBJFwyE,2018-11
813,Seattle-I-5S,2018-11
754,Houston-I-45S,2018-11
730,LosAngeles-I-10W,2018-11
705,LosAngeles-SanDiegoFwyS,2018-11
683,LosAngeles-I-10E,2018-11
656,LosAngeles-I-5N,2018-11
636,Orlando-I-4W,2018-11
622,Houston-US-90E,2018-11
618,Orlando-I-4E,2018-11
578,Atlanta-I-75S,2018-11
563,Houston-US-59N,2018-11
1467,Chicago-I-94W,2018-12
1381,Miami-I-95S,2018-12
1348,Miami-I-95N,2018-12
1213,Houston-I-45N,2018-12
1036,Chicago-I-90E,2018-12
934,Seattle-I-5N,2018-12
909,Phoenix-PearlHarborMemorialHighway,2018-12
899,Dallas-I-635W,2018-12
840,Seattle-I-5S,2018-12
835,Dallas-LBJFwyE,2018-12
765,Houston-I-45S,2018-12
755,LosAngeles-I-10W,2018-12
725,LosAngeles-SanDiegoFwyS,2018-12
721,LosAngeles-I-10E,2018-12
682,LosAngeles-I-5N,2018-12
657,Orlando-I-4W,2018-12
631,Houston-US-90E,2018-12
629,Orlando-I-4E,2018-12
596,Atlanta-I-75S,2018-12
595,Atlanta-I-285E,2018-12
1511,Chicago-I-94W,2019-01
1411,Miami-I-95S,2019-01
1372,Miami-I-95N,2019-01
1235,Houston-I-45N,2019-01
1075,Chicago-I-90E,2019-01
957,Seattle-I-5N,2019-01
937,Phoenix-PearlHarborMemorialHighway,2019-01
927,Dallas-I-635W,2019-01
862,Seattle-I-5S,2019-01
861,Dallas-LBJFwyE,2019-01
786,Houston-I-45S,2019-01
775,LosAngeles-I-10W,2019-01
741,LosAngeles-I-10E,2019-01
740,LosAngeles-SanDiegoFwyS,2019-01
692,LosAngeles-I-5N,2019-01
683,Orlando-I-4W,2019-01
646,Houston-US-90E,2019-01
645,Orlando-I-4E,2019-01
643,Portland-I-5N,2019-01
622,Atlanta-I-285E,2019-01
1545,Chicago-I-94W,2019-02
1452,Miami-I-95S,2019-02
1414,Miami-I-95N,2019-02
1260,Houston-I-45N,2019-02
1099,Chicago-I-90E,2019-02
972,Seattle-I-5N,2019-02
950,Phoenix-PearlHarborMemorialHighway,2019-02
949,Dallas-I-635W,2019-02
882,Seattle-I-5S,2019-02
871,Dallas-LBJFwyE,2019-02
803,Houston-I-45S,2019-02
781,LosAngeles-I-10W,2019-02
754,LosAngeles-I-10E,2019-02
747,LosAngeles-SanDiegoFwyS,2019-02
725,Portland-I-5N,2019-02
699,Orlando-I-4W,2019-02
698,LosAngeles-I-5N,2019-02
656,Atlanta-I-75S,2019-02
652,Atlanta-I-285E,2019-02
652,Orlando-I-4E,2019-02
1582,Chicago-I-94W,2019-03
1495,Miami-I-95S,2019-03
1446,Miami-I-95N,2019-03
1293,Houston-I-45N,2019-03
1126,Chicago-I-90E,2019-03
998,Seattle-I-5N,2019-03
962,Phoenix-PearlHarborMemorialHighway,2019-03
960,Dallas-I-635W,2019-03
898,Seattle-I-5S,2019-03
878,Dallas-LBJFwyE,2019-03
827,Houston-I-45S,2019-03
802,LosAngeles-I-10W,2019-03
796,Portland-I-5N,2019-03
764,LosAngeles-I-10E,2019-03
752,LosAngeles-SanDiegoFwyS,2019-03
721,Orlando-I-4W,2019-03
714,LosAngeles-I-5N,2019-03
672,Atlanta-I-285E,2019-03
670,Atlanta-I-75S,2019-03
667,Houston-US-90E,2019-03
1637,Chicago-I-94W,2019-04
1527,Miami-I-95S,2019-04
1479,Miami-I-95N,2019-04
1328,Houston-I-45N,2019-04
1155,Chicago-I-90E,2019-04
1017,Seattle-I-5N,2019-04
978,Phoenix-PearlHarborMemorialHighway,2019-04
977,Dallas-I-635W,2019-04
926,Seattle-I-5S,2019-04
893,Dallas-LBJFwyE,2019-04
850,Houston-I-45S,2019-04
845,Portland-I-5N,2019-04
818,LosAngeles-I-10W,2019-04
784,LosAngeles-I-10E,2019-04
765,LosAngeles-SanDiegoFwyS,2019-04
740,Orlando-I-4W,2019-04
728,LosAngeles-I-5N,2019-04
692,Atlanta-I-285E,2019-04
680,Atlanta-I-75S,2019-04
678,Houston-US-90E,2019-04
1682,Chicago-I-94W,2019-05
1577,Miami-I-95S,2019-05
1518,Miami-I-95N,2019-05
1360,Houston-I-45N,2019-05
1195,Chicago-I-90E,2019-05
1035,Seattle-I-5N,2019-05
1000,Phoenix-PearlHarborMemorialHighway,2019-05
993,Dallas-I-635W,2019-05
937,Seattle-I-5S,2019-05
902,Dallas-LBJFwyE,2019-05
893,Portland-I-5N,2019-05
870,Houston-I-45S,2019-05
842,LosAngeles-I-10W,2019-05
803,LosAngeles-I-10E,2019-05
783,LosAngeles-SanDiegoFwyS,2019-05
762,Orlando-I-4W,2019-05
749,LosAngeles-I-5N,2019-05
718,Atlanta-I-285E,2019-05
701,Atlanta-I-75S,2019-05
690,Houston-US-90E,2019-05
1719,Chicago-I-94W,2019-06
1611,Miami-I-95S,2019-06
1547,Miami-I-95N,2019-06
1384,Houston-I-45N,2019-06
1223,Chicago-I-90E,2019-06
1061,Seattle-I-5N,2019-06
1018,Phoenix-PearlHarborMemorialHighway,2019-06
1009,Dallas-I-635W,2019-06
951,Seattle-I-5S,2019-06
929,Portland-I-5N,2019-06
911,Dallas-LBJFwyE,2019-06
886,Houston-I-45S,2019-06
852,LosAngeles-I-10W,2019-06
811,LosAngeles-I-10E,2019-06
789,LosAngeles-SanDiegoFwyS,2019-06
782,Orlando-I-4W,2019-06
756,LosAngeles-I-5N,2019-06
746,Atlanta-I-285E,2019-06
719,Atlanta-I-75S,2019-06
702,Orlando-I-4E,2019-06
1749,Chicago-I-94W,2019-07
1637,Miami-I-95S,2019-07
1575,Miami-I-95N,2019-07
1404,Houston-I-45N,2019-07
1239,Chicago-I-90E,2019-07
1100,Seattle-I-5N,2019-07
1030,Phoenix-PearlHarborMemorialHighway,2019-07
1026,Dallas-I-635W,2019-07
994,Portland-I-5N,2019-07
977,Seattle-I-5S,2019-07
921,Dallas-LBJFwyE,2019-07
898,Houston-I-45S,2019-07
861,LosAngeles-I-10W,2019-07
825,LosAngeles-I-10E,2019-07
796,Orlando-I-4W,2019-07
794,LosAngeles-SanDiegoFwyS,2019-07
784,Atlanta-I-285E,2019-07
765,LosAngeles-I-5N,2019-07
733,Atlanta-I-75S,2019-07
714,Houston-US-90E,2019-07
1771,Chicago-I-94W,2019-08
1675,Miami-I-95S,2019-08
1613,Miami-I-95N,2019-08
1430,Houston-I-45N,2019-08
1262,Chicago-I-90E,2019-08
1132,Seattle-I-5N,2019-08
1072,Portland-I-5N,2019-08
1049,Dallas-I-635W,2019-08
1043,Phoenix-PearlHarborMemorialHighway,2019-08
1001,Seattle-I-5S,2019-08
928,Dallas-LBJFwyE,2019-08
911,Houston-I-45S,2019-08
882,LosAngeles-I-10W,2019-08
856,LosAngeles-I-10E,2019-08
809,Orlando-I-4W,2019-08
800,LosAngeles-SanDiegoFwyS,2019-08
800,Atlanta-I-285E,2019-08
782,LosAngeles-I-5N,2019-08
744,Atlanta-I-75S,2019-08
732,Orlando-I-4E,2019-08
1792,Chicago-I-94W,2019-09
1703,Miami-I-95S,2019-09
1632,Miami-I-95N,2019-09
1448,Houston-I-45N,2019-09
1273,Chicago-I-90E,2019-09
1154,Seattle-I-5N,2019-09
1142,Portland-I-5N,2019-09
1064,Dallas-I-635W,2019-09
1064,Phoenix-PearlHarborMemorialHighway,2019-09
1017,Seattle-I-5S,2019-09
960,LosAngeles-I-10W,2019-09
950,LosAngeles-I-10E,2019-09
933,Dallas-LBJFwyE,2019-09
925,Houston-I-45S,2019-09
819,Orlando-I-4W,2019-09
813,LosAngeles-I-5N,2019-09
809,Atlanta-I-285E,2019-09
805,LosAngeles-SanDiegoFwyS,2019-09
748,Atlanta-I-75S,2019-09
740,Orlando-I-4E,2019-09
1823,Chicago-I-94W,2019-10
1731,Miami-I-95S,2019-10
1659,Miami-I-95N,2019-10
1476,Houston-I-45N,2019-10
1290,Chicago-I-90E,2019-10
1223,Portland-I-5N,2019-10
1173,Seattle-I-5N,2019-10
1080,Phoenix-PearlHarborMemorialHighway,2019-10
1071,Dallas-I-635W,2019-10
1060,LosAngeles-I-10W,2019-10
1056,LosAngeles-I-10E,2019-10
1034,Seattle-I-5S,2019-10
936,Houston-I-45S,2019-10
936,Dallas-LBJFwyE,2019-10
842,LosAngeles-I-5N,2019-10
827,Orlando-I-4W,2019-10
823,Atlanta-I-285E,2019-10
809,LosAngeles-SanDiegoFwyS,2019-10
764,Atlanta-I-75S,2019-10
754,LosAngeles-GoldenStateFwyS,2019-10
1836,Chicago-I-94W,2019-11
1745,Miami-I-95S,2019-11
1660,Miami-I-95N,2019-11
1487,Houston-I-45N,2019-11
1303,Chicago-I-90E,2019-11
1301,Portland-I-5N,2019-11
1196,Seattle-I-5N,2019-11
1108,LosAngeles-I-10W,2019-11
1104,LosAngeles-I-10E,2019-11
1091,Phoenix-PearlHarborMemorialHighway,2019-11
1075,Dallas-I-635W,2019-11
1043,Seattle-I-5S,2019-11
942,Houston-I-45S,2019-11
939,Dallas-LBJFwyE,2019-11
849,LosAngeles-I-5N,2019-11
834,Orlando-I-4W,2019-11
829,Atlanta-I-285E,2019-11
810,LosAngeles-SanDiegoFwyS,2019-11
786,LosAngeles-GoldenStateFwyS,2019-11
773,SaltLakeCity-I-15S,2019-11
1872,Chicago-I-94W,2019-12
1767,Miami-I-95S,2019-12
1685,Miami-I-95N,2019-12
1503,Houston-I-45N,2019-12
1378,Portland-I-5N,2019-12
1339,Chicago-I-90E,2019-12
1215,Seattle-I-5N,2019-12
1187,LosAngeles-I-10E,2019-12
1175,LosAngeles-I-10W,2019-12
1102,Phoenix-PearlHarborMemorialHighway,2019-12
1082,Dallas-I-635W,2019-12
1052,Seattle-I-5S,2019-12
960,Houston-I-45S,2019-12
942,Dallas-LBJFwyE,2019-12
881,LosAngeles-I-5N,2019-12
865,LosAngeles-GoldenStateFwyS,2019-12
839,Atlanta-I-285E,2019-12
838,Orlando-I-4W,2019-12
836,SaltLakeCity-I-15S,2019-12
819,LosAngeles-SanDiegoFwyS,2019-12
1903,Chicago-I-94W,2020-01
1791,Miami-I-95S,2020-01
1726,Miami-I-95N,2020-01
1519,Houston-I-45N,2020-01
1447,Portland-I-5N,2020-01
1385,Chicago-I-90E,2020-01
1293,LosAngeles-I-10E,2020-01
1247,LosAngeles-I-10W,2020-01
1237,Seattle-I-5N,2020-01
1114,Phoenix-PearlHarborMemorialHighway,2020-01
1093,Dallas-I-635W,2020-01
1073,Seattle-I-5S,2020-01
968,Houston-I-45S,2020-01
948,Dallas-LBJFwyE,2020-01
943,LosAngeles-GoldenStateFwyS,2020-01
909,LosAngeles-I-5N,2020-01
877,SaltLakeCity-I-15S,2020-01
859,Atlanta-I-285E,2020-01
843,Orlando-I-4W,2020-01
827,LosAngeles-SanDiegoFwyS,2020-01
1927,Chicago-I-94W,2020-02
1815,Miami-I-95S,2020-02
1751,Miami-I-95N,2020-02
1528,Houston-I-45N,2020-02
1520,Portland-I-5N,2020-02
1403,Chicago-I-90E,2020-02
1377,LosAngeles-I-10E,2020-02
1333,LosAngeles-I-10W,2020-02
1257,Seattle-I-5N,2020-02
1124,Phoenix-PearlHarborMemorialHighway,2020-02
1101,Dallas-I-635W,2020-02
1088,Seattle-I-5S,2020-02
1016,LosAngeles-GoldenStateFwyS,2020-02
972,Houston-I-45S,2020-02
951,Dallas-LBJFwyE,2020-02
932,LosAngeles-I-5N,2020-02
925,SaltLakeCity-I-15S,2020-02
887,LosAngeles-I-405N,2020-02
868,Atlanta-I-285E,2020-02
852,Orlando-I-4W,2020-02
1962,Chicago-I-94W,2020-03
1855,Miami-I-95S,2020-03
1788,Miami-I-95N,2020-03
1577,Portland-I-5N,2020-03
1559,Houston-I-45N,2020-03
1459,LosAngeles-I-10E,2020-03
1419,Chicago-I-90E,2020-03
1404,LosAngeles-I-10W,2020-03
1291,Seattle-I-5N,2020-03
1130,Phoenix-PearlHarborMemorialHighway,2020-03
1129,Dallas-I-635W,2020-03
1109,LosAngeles-GoldenStateFwyS,2020-03
1105,Seattle-I-5S,2020-03
974,Houston-I-45S,2020-03
963,LosAngeles-I-5N,2020-03
958,Dallas-LBJFwyE,2020-03
950,SaltLakeCity-I-15S,2020-03
925,LosAngeles-I-405N,2020-03
908,Ontario-I-10E,2020-03
891,Anaheim-CA-91W,2020-03
2041,Chicago-I-94W,2020-04
1872,Miami-I-95S,2020-04
1818,Miami-I-95N,2020-04
1635,Portland-I-5N,2020-04
1588,Houston-I-45N,2020-04
1517,LosAngeles-I-10E,2020-04
1485,LosAngeles-I-10W,2020-04
1463,Chicago-I-90E,2020-04
1316,Seattle-I-5N,2020-04
1156,Dallas-I-635W,2020-04
1150,LosAngeles-GoldenStateFwyS,2020-04
1142,Phoenix-PearlHarborMemorialHighway,2020-04
1132,Seattle-I-5S,2020-04
979,Houston-I-45S,2020-04
978,LosAngeles-I-5N,2020-04
967,SaltLakeCity-I-15S,2020-04
965,Dallas-LBJFwyE,2020-04
955,Ontario-I-10E,2020-04
952,SanDiego-I-5N,2020-04
950,Anaheim-CA-91W,2020-04
2121,Chicago-I-94W,2020-05
1915,Miami-I-95S,2020-05
1868,Miami-I-95N,2020-05
1704,Portland-I-5N,2020-05
1617,Houston-I-45N,2020-05
1589,LosAngeles-I-10E,2020-05
1568,LosAngeles-I-10W,2020-05
1523,Chicago-I-90E,2020-05
1391,Seattle-I-5N,2020-05
1184,Seattle-I-5S,2020-05
1182,Dallas-I-635W,2020-05
1179,LosAngeles-GoldenStateFwyS,2020-05
1145,Phoenix-PearlHarborMemorialHighway,2020-05
1024,Ontario-I-10E,2020-05
1010,LosGatos-SantaCruzHwy,2020-05
1003,LosAngeles-I-5N,2020-05
999,Anaheim-CA-91W,2020-05
994,Corona-CA-91W,2020-05
988,SaltLakeCity-I-15S,2020-05
987,Houston-I-45S,2020-05
2213,Chicago-I-94W,2020-06
1935,Miami-I-95S,2020-06
1919,Miami-I-95N,2020-06
1771,Portland-I-5N,2020-06
1681,LosAngeles-I-10E,2020-06
1653,Houston-I-45N,2020-06
1641,LosAngeles-I-10W,2020-06
1576,Chicago-I-90E,2020-06
1481,Seattle-I-5N,2020-06
1259,Seattle-I-5S,2020-06
1232,LosAngeles-GoldenStateFwyS,2020-06
1228,Dallas-I-635W,2020-06
1154,Phoenix-PearlHarborMemorialHighway,2020-06
1117,Ontario-I-10E,2020-06
1065,Anaheim-CA-91W,2020-06
1049,Corona-CA-91W,2020-06
1046,LosGatos-SantaCruzHwy,2020-06
1041,SanDiego-I-5N,2020-06
1035,LosAngeles-I-5N,2020-06
1032,SaltLakeCity-I-15S,2020-06
2213,Chicago-I-94W,2020-07
1935,Miami-I-95S,2020-07
1919,Miami-I-95N,2020-07
1771,Portland-I-5N,2020-07
1681,LosAngeles-I-10E,2020-07
1653,Houston-I-45N,2020-07
1642,LosAngeles-I-10W,2020-07
1576,Chicago-I-90E,2020-07
1481,Seattle-I-5N,2020-07
1259,Seattle-I-5S,2020-07
1232,LosAngeles-GoldenStateFwyS,2020-07
1228,Dallas-I-635W,2020-07
1154,Phoenix-PearlHarborMemorialHighway,2020-07
1117,Ontario-I-10E,2020-07
1065,Anaheim-CA-91W,2020-07
1049,Corona-CA-91W,2020-07
1046,LosGatos-SantaCruzHwy,2020-07
1041,SanDiego-I-5N,2020-07
1035,LosAngeles-I-5N,2020-07
1032,SaltLakeCity-I-15S,2020-07
2213,Chicago-I-94W,2020-08
1935,Miami-I-95S,2020-08
1920,Miami-I-95N,2020-08
1771,Portland-I-5N,2020-08
1681,LosAngeles-I-10E,2020-08
1653,Houston-I-45N,2020-08
1642,LosAngeles-I-10W,2020-08
1576,Chicago-I-90E,2020-08
1481,Seattle-I-5N,2020-08
1259,Seattle-I-5S,2020-08
1232,LosAngeles-GoldenStateFwyS,2020-08
1228,Dallas-I-635W,2020-08
1154,Phoenix-PearlHarborMemorialHighway,2020-08
1118,Ontario-I-10E,2020-08
1066,Anaheim-CA-91W,2020-08
1049,Corona-CA-91W,2020-08
1046,LosGatos-SantaCruzHwy,2020-08
1041,SanDiego-I-5N,2020-08
1036,LosAngeles-I-5N,2020-08
1032,SaltLakeCity-I-15S,2020-08
2213,Chicago-I-94W,2020-09
2153,Miami-I-95N,2020-09
2148,Miami-I-95S,2020-09
1800,Portland-I-5N,2020-09
1726,LosAngeles-I-10E,2020-09
1700,LosAngeles-I-10W,2020-09
1697,Houston-I-45N,2020-09
1576,Chicago-I-90E,2020-09
1498,Seattle-I-5N,2020-09
1292,Dallas-I-635W,2020-09
1280,Seattle-I-5S,2020-09
1257,LosAngeles-GoldenStateFwyS,2020-09
1196,Ontario-I-10E,2020-09
1154,Phoenix-PearlHarborMemorialHighway,2020-09
1107,Anaheim-CA-91W,2020-09
1086,LosAngeles-I-5N,2020-09
1062,SanDiego-I-5N,2020-09
1061,Corona-CA-91W,2020-09
1053,LosGatos-SantaCruzHwy,2020-09
1039,SaltLakeCity-I-15S,2020-09
2572,Miami-I-95N,2020-10
2533,Miami-I-95S,2020-10
2213,Chicago-I-94W,2020-10
1923,Portland-I-5N,2020-10
1827,LosAngeles-I-10E,2020-10
1787,Houston-I-45N,2020-10
1773,LosAngeles-I-10W,2020-10
1578,Chicago-I-90E,2020-10
1523,Seattle-I-5N,2020-10
1392,Dallas-I-635W,2020-10
1314,LosAngeles-GoldenStateFwyS,2020-10
1306,Seattle-I-5S,2020-10
1291,Ontario-I-10E,2020-10
1164,Anaheim-CA-91W,2020-10
1154,Phoenix-PearlHarborMemorialHighway,2020-10
1140,LosAngeles-I-5N,2020-10
1117,LosAngeles-HarborFwyN,2020-10
1113,SanDiego-I-5N,2020-10
1094,Anaheim-CA-91E,2020-10
1084,Corona-CA-91W,2020-10
2932,Miami-I-95N,2020-11
2808,Miami-I-95S,2020-11
2213,Chicago-I-94W,2020-11
2020,Portland-I-5N,2020-11
1996,LosAngeles-I-10W,2020-11
1973,LosAngeles-I-10E,2020-11
1921,Houston-I-45N,2020-11
1578,Chicago-I-90E,2020-11
1569,Dallas-I-635W,2020-11
1540,Seattle-I-5N,2020-11
1445,Ontario-I-10E,2020-11
1442,LosAngeles-GoldenStateFwyS,2020-11
1357,Seattle-I-5S,2020-11
1310,Anaheim-CA-91W,2020-11
1279,LosAngeles-I-5N,2020-11
1261,LosAngeles-HarborFwyN,2020-11
1226,Anaheim-CA-91E,2020-11
1198,SanDiego-I-5N,2020-11
1183,Brooklyn-BrooklynQueensExpy,2020-11
1159,FortLauderdale-I-95S,2020-11
3267,Miami-I-95N,2020-12
3210,Miami-I-95S,2020-12
2213,Chicago-I-94W,2020-12
2199,LosAngeles-I-10E,2020-12
2183,LosAngeles-I-10W,2020-12
2170,Portland-I-5N,2020-12
2066,Houston-I-45N,2020-12
1708,Dallas-I-635W,2020-12
1691,Ontario-I-10E,2020-12
1579,Seattle-I-5N,2020-12
1578,Chicago-I-90E,2020-12
1570,LosAngeles-GoldenStateFwyS,2020-12
1471,Anaheim-CA-91W,2020-12
1465,Anaheim-CA-91E,2020-12
1435,LosAngeles-HarborFwyN,2020-12
1405,LosAngeles-I-5N,2020-12
1392,Seattle-I-5S,2020-12
1360,Brooklyn-BrooklynQueensExpy,2020-12
1353,Riverside-CA-91W,2020-12
1337,SanDiego-I-5N,2020-12
